Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny,Henry
Luigi Circuit,30,12,12,0,0,11,0,0,0,0,0,0,8,10
Moo Moo Meadows,99,72,82,34,0,47,0,0,0,0,0,0,16,8
Mushroom Gorge,97,106,65,23,0,47,0,0,0,8,0,0,22,5
Toad's Factory,92,100,57,35,0,56,0,0,0,0,0,0,0,8
Mario Circuit,30,42,25,0,0,24,0,0,0,0,0,0,0,8
Coconut Mall,64,52,39,8,0,45,0,0,0,0,0,0,8,8
DK Summit,113,127,82,38,0,50,0,0,0,8,0,0,15,8
Wario's Gold Mine,74,87,47,27,0,56,0,0,0,0,0,0,0,1
Daisy Circuit,82,81,72,16,0,46,0,0,0,0,0,0,8,8
Koopa Cape,109,103,77,16,0,52,0,0,0,8,0,0,20,6
Maple Treeway,106,107,88,36,0,46,0,0,0,0,0,0,0,8
Grumble Volcano,113,104,89,27,0,38,0,0,0,0,0,0,0,0
Dry Dry Ruins,82,118,79,22,0,62,0,0,0,8,0,0,6,7
Moonview Highway,69,96,60,24,0,50,0,0,0,0,0,0,8,6
Bowser's Castle,121,128,89,26,0,38,0,0,0,0,0,0,0,8
Rainbow Road,96,99,65,28,0,48,0,0,0,0,0,0,0,5
GCN Peach Beach,12,15,0,0,0,10,0,0,0,0,0,0,0,8
DS Yoshi Falls,39,50,31,13,0,34,0,0,0,0,0,0,0,8
SNES Ghost Valley 2,71,66,85,20,0,35,0,0,0,0,0,0,0,10
N64 Mario Raceway,108,124,97,36,0,61,0,0,0,0,0,0,6,8
N64 Sherbet Land,66,74,62,26,0,18,0,0,0,8,0,0,8,8
GBA Shy Guy Beach,30,60,20,28,0,25,0,0,0,0,0,0,0,10
DS Delfino Square,109,128,83,36,0,66,0,0,0,0,0,0,1,8
GCN Waluigi Stadium,116,118,75,41,0,44,0,0,0,0,0,0,0,10
DS Desert Hills,74,83,63,41,0,37,0,0,0,0,0,0,8,8
GBA Bowser's Castle 3,149,149,106,43,0,51,0,0,0,0,0,0,8,3
N64 DK's Jungle Parkway,91,122,71,23,0,55,0,0,0,0,0,0,10,8
GCN Mario Circuit,73,114,61,42,0,46,0,0,0,0,0,0,3,7
SNES Mario Circuit 3,94,91,73,23,0,54,0,0,0,6,0,0,0,8
DS Peach Gardens,49,72,34,21,0,38,0,0,0,0,0,0,0,0
GCN DK Mountain,76,77,59,8,0,18,0,0,0,8,0,0,8,8
N64 Bowser's Castle,86,107,55,35,0,50,0,0,0,0,0,0,5,8
Lava Lake,12,25,25,16,0,12,0,0,0,0,0,0,0,0
Stargaze Summit,0,12,10,2,0,15,0,0,0,0,0,0,0,0
Envenom Snowstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragon Burial Grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowser Jr.'s Crafty Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N64 Royal Raceway,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS Airstrip Fortress,12,30,22,8,0,18,0,0,0,0,0,0,0,0
DK Ruins,0,15,4,8,0,12,0,0,0,0,0,0,0,0
DS Bowser's Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf Castlegrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0
