Tracks x Players,Demitri,Pat,Chris,Joe,Shane,Mike,Kevin,Matt,Jason,Karla,Callum,John,Danny
Luigi Circuit,413,496,452,140,0,105,362,0,0,23,0,0,0
Moo Moo Meadows,1230,1418,1258,221,23,245,1288,12,7,42,8,7,0
Mushroom Gorge,1403,1510,1330,225,24,385,1413,0,0,56,0,5,0
Toad's Factory,1527,1726,1499,264,25,334,1643,0,0,48,0,4,0
Mario Circuit,317,408,341,107,0,88,348,0,0,0,5,0,0
Coconut Mall,1320,1324,1382,215,33,184,1532,7,0,50,0,0,0
DK Summit,1776,2050,1798,346,8,322,1814,0,0,55,0,8,0
Wario's Gold Mine,735,887,748,150,0,138,814,0,0,0,0,0,0
Daisy Circuit,1299,1404,1276,204,23,208,1441,8,0,48,5,10,0
Koopa Cape,1591,1664,1526,248,32,240,1573,8,0,66,0,15,0
Maple Treeway,2018,2075,1837,303,10,228,2007,0,8,57,0,10,0
Grumble Volcano,1458,1369,1381,151,14,272,1459,0,0,9,0,12,0
Dry Dry Ruins,935,1078,934,189,27,180,973,6,0,35,3,8,0
Moonview Highway,514,556,494,136,0,205,552,0,0,24,0,0,0
Bowser's Castle,1742,1751,1679,253,0,191,1869,0,0,40,0,10,0
Rainbow Road,1652,1707,1559,177,5,212,1662,0,0,2,0,0,0
GCN Peach Beach,1001,890,717,180,0,162,784,0,0,10,8,0,0
DS Yoshi Falls,295,355,433,125,6,118,304,0,0,20,0,0,0
SNES Ghost Valley 2,911,976,784,61,0,170,976,0,0,16,0,0,0
N64 Mario Raceway,1872,2062,1975,276,29,320,1940,12,0,50,8,10,0
N64 Sherbet Land,1086,1267,1127,250,7,163,1121,0,0,25,0,0,0
GBA Shy Guy Beach,302,407,403,165,0,52,392,0,0,4,0,0,0
DS Delfino Square,1928,2040,1778,251,23,325,1917,8,0,59,0,10,0
GCN Waluigi Stadium,1351,1582,1429,226,16,265,1517,0,0,47,8,8,0
DS Desert Hills,853,890,807,136,0,147,865,0,0,29,0,0,0
GBA Bowser's Castle 3,1882,1979,1693,240,8,338,1949,0,0,34,0,10,0
N64 DK's Jungle Parkway,1398,1491,1383,123,21,200,1509,8,0,46,0,0,0
GCN Mario Circuit,1154,1332,1144,163,12,253,1371,0,0,16,0,8,0
SNES Mario Circuit 3,1127,1351,1077,155,8,242,1171,0,0,8,0,0,0
DS Peach Gardens,1347,1394,1238,247,0,222,1447,0,0,32,0,0,0
GCN DK Mountain,890,1121,895,133,0,180,1021,0,0,31,0,12,0
N64 Bowser's Castle,1803,1715,1532,234,0,228,1806,0,6,48,0,0,0
Lava Lake,922,992,905,86,0,150,976,0,0,16,0,10,0
Stargaze Summit,25,37,27,0,0,0,30,0,0,0,0,8,0
Envenom Snowstorm,10,12,15,0,0,0,8,0,0,0,0,0,0
Dragon Burial Grounds,12,42,17,0,0,0,35,0,0,0,0,8,0
Bowser Jr.'s Crafty Castle,18,25,12,0,0,0,27,0,0,0,0,0,0
N64 Royal Raceway,27,40,18,0,0,0,34,0,0,0,0,8,0
DS Airstrip Fortress,49,43,42,0,0,0,67,0,0,0,0,8,0
DK Ruins,18,39,22,0,0,0,40,0,0,0,0,8,0
DS Bowser's Castle,0,15,10,0,0,0,12,0,0,0,0,8,0
Wolf Castlegrounds,0,12,8,0,0,0,10,0,0,0,0,15,0
